Order_code,Cost,minPrice,maxPrice,avgPrice,sdPrice,Start_dt,end_dt
e67688s,899,300,1499,648.3158,352.0352932,11/27/1962,2/22/2020
q58377l,1426,110,1600,516.4348,346.7676614,10/27/1938,7/12/2025
i85751l,5842,330,10000,2342.4545,3017.432333,11/13/2007,1/20/2022
p36660x,1619,200,8750,1392.3846,1598.662833,11/9/1942,3/20/2028
q75610f,3796,150,4600,1140.6429,1010.314138,2/13/1968,3/4/2027
b84780z,1498,110,9000,1114.4592,1220.043888,6/22/1960,12/24/2023
s56891z,4103,150,4699,1376.0769,1337.335495,4/8/1914,7/13/2021
y91981l,3084,150,3990,963.9333,973.2656004,9/13/1979,12/4/2019
y98423e,3873,150,3900,1063.0526,837.1903182,10/23/1901,9/18/2029
j86854q,9773,120,12000,1443.2906,1571.509107,2/4/1969,12/1/2029
k23989c,628,400,4000,1598.0909,1052.717734,5/15/1986,4/9/2030
u23426k,825,499,12300,2245.5,2362.363462,4/24/1965,4/12/2026
v82971o,1529,150,39000,2257.2954,3127.449326,4/3/1904,2/21/2018
s81516s,6549,370,9890,3580,2604.678483,5/17/1914,5/7/2020
e27821m,792,500,9800,3285.6333,2413.485094,7/19/1920,7/3/2027
q23425e,8624,150,14900,2392.0586,2297.719774,8/4/2009,12/7/2025
e89373b,2828,300,19900,2433.9826,2575.3257,11/28/1915,9/12/2030
y88772l,1317,250,18900,2545.7966,2538.95126,8/28/1972,5/7/2026
f80260o,22958,289,26450,4364.1875,5127.950224,2/13/1988,9/18/2021
g78251t,9513,199,10000,3504.5116,2231.607673,11/13/1915,9/2/2022
p97190y,8354,800,17500,7734.6207,4506.832272,1/16/1904,6/9/2022
w89188x,9186,1299,10000,5844,3092.783228,5/4/1961,8/8/2019
g46466j,54326,850,69500,28760.6538,22338.84242,2/26/1938,1/14/2022
k34457p,42756,4500,89950,18168.5,19346.70632,7/16/1955,5/13/2023
v81116w,2903,150,4200,761.1111,888.2685335,5/11/1971,6/24/2021
s21978s,8968,120,9850,667.9524,1202.82987,9/19/1980,8/10/2029
h65333j,271,150,1600,610.5385,463.2078144,11/1/1981,2/24/2029
v79019h,1058,300,3999,1352.7857,1126.600207,11/11/1974,8/20/2030
m93953f,8874,140,12500,1575.0526,2216.412962,3/4/1966,4/22/2019
k47538m,5475,120,15000,1053.6042,1572.373829,9/8/1965,5/25/2026
v93913c,885,250,1950,909.9231,464.2463639,10/23/1923,2/27/2018
k26647h,1087,200,4350,1264.2857,1135.849049,9/9/2010,4/11/2018
p39014f,1814,150,5000,1518.9231,1429.382481,4/21/1998,7/17/2030
i92083u,13344,110,18000,1923.4453,2583.190917,11/26/1977,10/16/2022
t47578l,5431,550,6000,2681.5833,1602.225819,8/19/2009,12/12/2026
i77748j,4626,250,12000,4034.9412,3980.129845,6/17/1991,10/12/2020
d22157y,6564,250,10500,3278.3846,2681.228102,5/25/1917,10/17/2018
j34372g,1217,120,17000,1670.9493,1802.244782,6/11/2009,9/21/2018
n80496a,10846,500,13500,3284.4118,3516.317209,7/6/1956,9/13/2026
e84176q,18690,169,19400,2195.2895,2293.85737,2/26/1900,8/4/2026
i26428k,13479,700,13999,3683.1333,3624.457989,2/10/1919,4/12/2029
y51684c,2967,150,9200,2284.1197,1837.077292,4/16/1997,6/18/2029
h23465o,9187,150,16500,1972.1497,2010.436708,8/14/1921,11/17/2021
s44642m,15903,300,25700,4086.8696,3663.560822,6/27/1936,6/5/2018
g77917h,13039,600,14500,4094.5895,3205.299758,12/12/1911,1/6/2018
e49076x,34624,1000,56900,7817.5946,10279.62682,5/4/1918,2/15/2027
j29639m,10252,1800,31000,9366.2414,7187.570966,9/3/1946,3/2/2022
l17957t,37602,1500,49900,8328.2667,11364.18281,6/17/1966,4/25/2018
b36545l,4918,1500,30000,12829.3529,8123.216379,5/4/1941,3/13/2025
o76594g,1844,150,2000,730.9375,488.843721,3/15/1999,2/6/2027
l32938c,563,150,1240,412.2045,193.3954474,9/8/1975,6/1/2030
c98265w,1706,250,2990,1008.9231,707.4259365,12/27/1985,1/13/2025
a83526d,7151,150,8000,2228.8235,2677.84811,5/13/1933,5/4/2028
e81483p,4552,200,5199,1053.4186,992.9478132,1/23/1928,6/2/2019
i81436b,3894,150,3999,738.9548,658.0127177,6/19/1917,12/3/2028
c38069q,2197,150,3850,1185.5625,970.308132,4/7/1924,2/27/2024
a38250x,826,235,1990,820.3125,543.928042,2/19/1917,7/7/2027
i37288q,508,400,7750,1204.4444,1610.366495,3/2/1943,8/27/2022
f68538c,17425,140,18290,1369.8039,2581.893127,5/17/1913,9/4/2029
r53719v,8309,110,12900,1148.9584,1367.116305,12/27/1941,2/23/2028
n86989o,2068,450,4000,1467.8571,815.3892898,5/26/1953,5/9/2026
c74273f,6312,120,9500,2464.4667,2976.034988,7/21/1967,8/14/2023
p24489n,4130,120,6499,1305.9412,1182.817414,6/25/1918,11/16/2018
v97833e,2889,125,8500,1178.9161,1205.72374,9/3/1908,12/23/2026
w41185v,1713,250,11000,3785.6154,3303.979175,11/6/1971,1/17/2024
f52392g,3209,120,9999,1639.3171,1509.689966,2/16/1978,8/21/2019
s73480b,11980,200,13500,2004.1758,1930.260871,10/1/1924,12/3/2029
z16955x,8485,750,11500,3222.6667,2809.383009,3/8/1986,8/6/2026
k62217e,9804,150,15000,2118.0695,1981.91914,6/7/2015,11/21/2025
m67579i,13671,500,15000,3170.6456,2988.632705,8/12/1932,12/3/2024
t64514l,4665,400,14500,4061.0337,3025.003287,5/17/1927,12/8/2026
k49616q,3656,1300,19800,7299.0417,4847.609295,7/1/1937,7/20/2024
p97911n,26811,1200,36000,11524.037,9728.176265,3/15/1992,7/23/2029
r10638t,4216,1200,16900,7988.6522,4150.921978,6/12/1956,12/8/2019
e33074v,13137,3100,26900,12014.6154,6087.549229,5/4/1989,8/21/2019
v88767m,12139,900,13900,7249.0909,3796.896351,3/26/2007,12/3/2022
b82174m,247,190,1800,615.3333,367.8045155,4/25/1995,1/10/2021
d44824t,811,119,1100,476.3713,249.1466752,9/22/1922,8/26/2022
y85222u,303,150,6000,1147.8889,1274.154573,4/20/2012,3/16/2028
a24962e,638,150,2000,671.1739,465.6221319,12/6/1905,1/3/2026
y39810f,8912,150,11500,892.3191,1607.375687,3/17/1991,5/1/2025
w72526p,236,120,14999,872.235,1192.898233,1/27/1929,5/28/2022
s33953o,335,250,3499,1378.7222,1146.517762,5/4/1928,1/11/2028
z69244y,1020,350,2500,1043.5455,617.0120617,5/23/2015,7/17/2018
j68729j,1802,250,2500,1107.2353,689.3405655,2/5/1990,1/12/2021
t19353h,1364,120,1590,774.2639,374.325764,8/16/1948,12/8/2024
v47045d,10216,120,15900,1242.0803,1518.655291,7/27/1951,3/5/2019
c57451y,4014,550,9490,1875.8667,2169.649215,4/9/1973,9/23/2024
z92343j,1205,300,3000,1409.8929,705.9457354,8/2/1988,7/5/2018
v14980u,2109,120,10600,1071.4993,929.7567633,11/3/1913,8/25/2018
c97353v,1447,299,5990,2208.8108,1366.426763,7/1/1995,8/12/2018
s11943e,4743,150,24000,1620.6991,1703.163207,11/3/2007,2/10/2029
s62529e,3771,400,14900,3518.4615,3552.333916,10/19/1941,4/13/2022
g37569u,1800,150,12950,2073.1891,2277.562735,4/8/2008,8/15/2025
v32545g,5291,900,15000,5037.35,3996.329582,4/18/1909,9/7/2018
l20468s,11885,150,11900,2034.7254,1716.920783,9/15/2004,2/19/2023
q44350o,2618,150,14999,2779.9667,2824.786944,1/23/2012,10/13/2022
z69657x,7276,290,14500,3943.0847,3108.301233,3/4/1920,5/16/2027
f35678q,15773,399,17500,4095.7018,3885.558015,6/3/1951,7/26/2027
w62877r,12968,1000,28000,10975.8333,7983.958961,10/5/1933,7/14/2022
x45372f,36467,800,69999,12831.4737,17766.9292,4/20/2008,12/27/2018
i81146z,31017,1000,49900,7233.0714,12087.99714,12/4/1971,9/15/2025
q51344y,9818,3333,31500,9612.9286,7081.126075,4/25/1995,2/10/2022
w31487g,165,150,4000,1289.8182,1029.181565,9/12/1906,6/25/2027
g70493b,3589,200,6000,1526.9286,1506.563045,10/3/2005,7/28/2026
s54156u,1117,200,1145,585.625,311.6833078,2/12/1903,1/27/2027
r34453a,1968,150,5800,792.4528,926.0638261,12/10/1901,6/13/2021
o34727u,21592,110,30000,601.3798,1627.860132,3/19/1977,3/2/2030
z70977g,2415,200,3800,842.3462,830.0441574,5/13/1940,11/2/2022
r24566j,764,150,1200,599.5,328.7632127,6/4/1999,11/19/2019
a45537y,520,150,2850,884.85,607.4864011,8/15/1960,1/13/2026
r47979x,1629,150,2600,806,592.6551594,4/22/1981,2/7/2018
x55250a,2724,149,3990,842.3243,636.1417509,3/21/1955,4/11/2024
k56424d,1970,120,8900,771.812,897.3835497,11/11/1908,12/5/2024
l79269v,6953,120,10800,726.0034,801.0008698,4/6/1932,11/5/2022
e97320j,694,150,3666,808.7273,833.3035124,6/20/1968,3/9/2025
j47096a,1905,888,2900,1586.6667,554.485347,3/18/1981,5/2/2025
z83910h,3028,250,3600,1225.25,827.539916,3/12/1990,8/3/2027
u85562b,2054,300,2200,977.7586,425.8686583,3/24/2017,8/23/2027
g49636k,603,150,2500,811.5641,459.9167592,3/28/1921,2/25/2025
l50320v,6295,150,7900,934,844.4684823,1/3/1978,10/5/2029
l39229g,7014,120,14750,913.5251,1053.5953,4/13/1900,9/2/2024
j34246t,4880,200,5700,866.9583,1066.210208,6/22/2005,7/12/2029
y20768v,1227,199,3000,1245.4286,751.6225985,2/21/1960,4/21/2024
y81370y,590,250,3400,1481.3333,922.2643632,4/12/1975,9/11/2018
j69364t,418,200,10000,1907.0333,2019.758607,8/26/1900,3/4/2024
v60480f,3282,200,5900,1368.066,1004.845743,11/22/1975,7/9/2020
t78965k,1335,120,18000,1022.1156,1010.723364,4/13/1945,9/17/2023
w83626y,1044,200,1300,668.9444,286.4787121,2/7/2015,4/4/2018
i30093c,3034,650,7400,3035.2353,1970.119361,1/27/1946,1/23/2026
r71224j,1091,150,11650,1817.2807,1749.992549,4/17/1993,5/16/2028
v23229h,7815,120,13990,1396.3818,1384.653137,3/28/2017,6/3/2025
u40337q,5196,150,5500,1845.25,1672.374416,2/9/2014,6/3/2023
i29119u,2173,120,17500,1896.0168,2356.596892,9/1/1967,7/22/2027
x20670w,2548,777,6000,2656.4375,1520.844131,3/20/1998,6/7/2025
y60371e,4173,150,21000,2003.3277,2200.730199,3/25/1964,1/24/2021
g28466s,14036,150,15000,2231.8454,2015.578321,12/4/1914,1/12/2019
z77867l,13483,650,15900,6587.6111,3547.174465,7/12/1973,11/2/2018
r24967i,724,350,15000,3246.5349,2511.762436,12/28/1973,8/5/2025
r21132t,20685,450,25999,3706.7703,4446.647348,2/19/1961,9/25/2030
f55942i,19349,1150,19999,8470.8,6007.040666,12/8/1989,12/27/2019
h99424o,2685,1200,83000,14926.9,21925.62147,8/28/1979,5/14/2019
k99188u,7970,1750,9500,3538.45,1817.352345,8/8/1990,1/24/2024
a78732w,10135,1199,14600,5654.8,3767.216102,12/22/1987,11/2/2018
h76367r,777,600,1890,992.6364,436.702993,1/10/1993,8/18/2020
v42619r,369,300,2350,934.5,398.5167934,11/20/1958,11/19/2024
b46566k,1407,349,1499,799.6667,331.6427127,7/24/1937,5/9/2024
k15039z,801,140,1252,681.6078,268.4235809,8/17/1913,9/25/2029
c86349u,955,111,5900,621.9425,456.7685034,8/6/1972,5/6/2029
z61831d,244,120,1200,512.3333,305.5599596,10/20/1927,12/7/2021
v80347i,2280,150,5900,1243.6667,1222.448765,8/8/1990,2/2/2025
g41489p,1957,150,2000,983.8667,633.275071,9/5/1907,3/15/2028
x11727f,10649,200,17500,1461.9355,2975.324736,8/11/2003,8/25/2024
t33397o,4456,130,4499,886.7273,696.8957586,5/2/1948,12/28/2028
r73412n,1353,150,3900,738.5625,589.3543397,7/1/1908,9/14/2029
q92497b,1385,130,2500,762.48,410.1466562,10/10/1983,6/15/2030
v45835t,3231,110,5444,704.6962,542.2790109,3/15/1933,12/23/2020
w94215z,1182,150,1400,518.6875,339.9001175,3/20/1905,9/25/2024
q39070x,1358,250,2900,1752.7143,701.4728819,6/21/1990,9/21/2029
p46826y,447,400,1600,886.25,432.0065827,11/26/1905,1/18/2025
z18218e,2136,385,2800,1228.1333,601.4070021,5/4/1962,7/11/2024
